Timestep,Episode,Reward,Length,FPS
50,1,-15.713792,50,0
100,2,-21.207734,50,0
150,3,-20.652189,50,0
200,4,-24.45054,50,0
250,5,-23.028331,50,0
300,6,-6.895594,50,0
350,7,-13.413892,50,0
400,8,-36.370867,50,0
450,9,-24.634775,50,0
500,10,-28.079816,50,0
550,11,-28.605429,50,0
600,12,-21.187444,50,0
650,13,-17.014565,50,0
700,14,-8.348506,50,0
750,15,-23.009511,50,0
800,16,-23.849512,50,0
850,17,-20.858946,50,0
900,18,-21.041031,50,0
950,19,-26.896692,50,0
1000,20,-13.643196,50,0
1050,21,-12.422105,50,0
1100,22,-38.934028,50,0
1150,23,-24.098935,50,0
1200,24,-23.125327,50,0
1250,25,-34.999641,50,0
1300,26,-21.301093,50,0
1350,27,-10.306654,50,0
1400,28,-33.078926,50,0
1450,29,-28.598035,50,0
1500,30,-31.907511,50,0
1550,31,-20.725787,50,0
1600,32,-19.60606,50,0
1650,33,-16.912774,50,0
1700,34,-23.190748,50,0
1750,35,-20.981461,50,0
1800,36,-21.977437,50,0
1850,37,-25.583102,50,0
1900,38,-19.222681,50,0
1950,39,-17.656676,50,0
2000,40,-22.15422,50,0
2050,41,-20.284353,50,0
2100,42,-28.273409,50,0
2150,43,-19.005941,50,0
2200,44,-21.721332,50,0
2250,45,-28.080327,50,0
2300,46,-12.811752,50,0
2350,47,-34.60371,50,0
2400,48,-25.792502,50,0
2450,49,-22.340287,50,0
2500,50,-15.889373,50,0
2550,51,-7.51486,50,0
2600,52,-16.534393,50,0
2650,53,-27.808875,50,0
2700,54,-9.397828,50,0
2750,55,-28.620816,50,0
2800,56,-23.872954,50,0
2850,57,-30.081175,50,0
2900,58,-61.337129,50,0
2950,59,-17.023035,50,0
3000,60,-16.109308,50,0
3050,61,-18.790184,50,0
3100,62,-16.993444,50,0
3150,63,-27.979909,50,0
3200,64,-20.52116,50,0
3250,65,-23.237952,50,0
3300,66,-18.951714,50,0
3350,67,-20.526576,50,0
3400,68,-21.379335,50,0
3450,69,-19.363911,50,0
3500,70,-20.296272,50,0
3550,71,-18.193596,50,0
3600,72,-22.502463,50,0
3650,73,-26.60713,50,0
3700,74,-26.79332,50,0
3750,75,-21.054284,50,0
3800,76,-19.276597,50,0
3850,77,-17.907026,50,0
3900,78,-18.55355,50,0
3950,79,-10.155141,50,0
4000,80,-26.687339,50,0
4050,81,-20.949096,50,0
4100,82,-21.637599,50,0
4150,83,-34.755358,50,0
4200,84,-15.593693,50,0
4250,85,-22.509725,50,0
4300,86,-29.060663,50,0
4350,87,-19.683892,50,0
4400,88,-11.376098,50,0
4450,89,-25.613278,50,0
4500,90,-28.959202,50,0
4550,91,-22.252143,50,0
4600,92,-17.456312,50,0
4650,93,-21.167799,50,0
4700,94,-22.571484,50,0
4750,95,-23.697449,50,0
4800,96,-16.441617,50,0
4850,97,-15.413858,50,0
4900,98,-17.743646,50,0
4950,99,-31.328772,50,0
5000,100,-15.20684,50,0
5050,101,-29.486396,50,0
5100,102,-15.551195,50,0
5150,103,-23.211124,50,0
5200,104,-16.850833,50,0
5250,105,-12.137674,50,0
5300,106,-12.205791,50,0
5350,107,-16.287359,50,0
